Time(s),Temperature(C)
2215.54,147.00
2218.88,147.00
2222.22,146.00
2225.55,146.50
2228.89,146.50
2232.23,146.75
2235.56,146.25
2238.90,146.50
2242.23,146.75
2245.57,146.75
2248.91,146.75
2252.24,143.50
2255.58,143.00
2258.92,147.00
2262.25,147.00
2265.59,147.00
2268.92,147.50
2272.26,146.50
2275.60,147.25
2278.93,147.00
2282.27,147.00
2285.61,146.75
2288.94,147.00
2292.28,146.50
2295.62,146.75
2298.95,146.50
2302.29,147.75
2305.62,146.25
2308.96,146.75
2312.30,146.75
2315.63,147.00
2318.97,147.25
2322.31,147.50
2325.65,147.00
2328.98,147.25
2332.32,147.00
2335.65,147.00
2338.99,147.00
